id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,602.585,93.45150000000001,20.6,21.918499999999998,80.69999999999999,2.1599999999999997,25.2,0.258,0.208,2.0,193.89499999999998,8.66,2.8743499999999997,1069.52,1704.48,1114.6950000000002,672.415,1937.37,850.77,217.335,1091.905,10.0,93.26,29.69,-1.03
lun,773.5999999999999,470.93000000000006,30.327500000000004,30.43,95.13,4.875,317.3,0.42874999999999996,0.421,53.8,187.2,9.07,5.253,1490.85,2814.7999999999997,2040.9250000000002,1186.425,2913.4500000000003,1394.85,339.375,1759.375,23.5,111.77,38.11,8.89
din,653.475,165.5025,18.974999999999998,10.057500000000001,121.74,4.59,94.5,0.43650000000000005,0.405,7.5,109.725,16.53,2.8762499999999998,922.5,1905.0,660.375,1028.775,2152.05,765.15,218.47500000000002,1100.025,7.5,63.28,32.2,-8.0
total,2029.6599999999999,729.884,69.9025,62.406000000000006,297.57,11.625,437.0,1.12325,1.034,63.3,490.81999999999994,34.260000000000005,11.003599999999999,3482.87,6424.28,3815.9950000000003,2887.615,7002.87,3010.77,775.1850000000001,3951.305,41.0,268.31,0.0,0.0
error_%,6.82,0.0,12.0,12.0,7.27,0.0,-37.57,-6.4,-13.83,-36.7,-38.65,71.3,46.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,93.15,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,13,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.5,,,,,,,,,,,,,,,,,,,,,,,,
011201x,3.0,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.36500000000000005,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
45125,0.8,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
082101x,0.6,,,,,,,,,,,,,,,,,,,,,,,,
45331,1.9,,,,,,,,,,,,,,,,,,,,,,,,
31509,0.5,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.22500000000000003,,,,,,,,,,,,,,,,,,,,,,,,
42206,0.5,,,,,,,,,,,,,,,,,,,,,,,,
43208,1.0,,,,,,,,,,,,,,,,,,,,,,,,
066201x,2.0,,,,,,,,,,,,,,,,,,,,,,,,
