id,composition,amount,price,half
brk_1,101101x,2,1.5,FALSE
brk_2,103001,1.25,1.5,FALSE
brk_3,31101,0.1,1.5,FALSE
brk_4,012001x,0.15,0.5,FALSE
brk_5,15101,0.15,0.5,FALSE
brk_6,012001x,0.25,0.5,FALSE
brk_7,011201x,0.5,1,FALSE
brk_8,011201x,0.5,1,FALSE
brk_9,011201x,0.5,1.5,FALSE
brk_9,192004,0.1,1.5,FALSE
brk_10,111101x,0.5,1,FALSE
brk_11,111101x,0.5,1.5,FALSE
brk_11,192004,0.1,1.5,FALSE
brk_12,21205,1,1,FALSE
brk_13,012001x,0.1,0.5,FALSE
brk_13,43213,0.2,0.5,FALSE
brk_14,011201x,0.4,6,FALSE
brk_14,081110x,0.25,6,FALSE
brk_14,192004,0.1,6,FALSE
brk_15,011201x,0.5,6,FALSE
brk_15,91112,0.4,6,FALSE
brk_15,192004,0.05,6,FALSE
brk_16,011201x,0.5,6,FALSE
brk_16,081110x,0.15,6,FALSE
brk_16,45125,0.4,6,FALSE
brk_16,192004,0.1,6,FALSE
brk_17,011201x,0.25,2,FALSE
brk_17,081111x,0.15,2,FALSE
brk_17,045101x,0.3,2,FALSE
brk_17,192004,0.05,2,FALSE
brk_18,011201x,0.25,2,FALSE
brk_18,082101x,0.1,2,FALSE
brk_18,41201,0.1,2,FALSE
brk_18,192004,0.1,2,FALSE
brk_19,011201x,0.25,3,FALSE
brk_19,111101x,0.2,3,FALSE
brk_19,81409,0.2,3,FALSE
brk_19,192004,0.05,3,FALSE
brk_20,011201x,0.2,2.5,FALSE
brk_20,21101,0.5,2.5,FALSE
brk_20,111101x,0.2,2.5,FALSE
brk_20,192004,0.05,2.5,FALSE
brk_21,011201x,0.2,2,FALSE
brk_21,081111x,0.2,2,FALSE
brk_21,192004,0.1,2,FALSE
brk_22,011201x,0.5,8,FALSE
brk_22,081111x,0.2,8,FALSE
brk_22,45331,0.4,8,FALSE
brk_22,192004,0.1,8,FALSE
brk_23,011201x,0.2,2,FALSE
brk_23,44404,0.4,2,FALSE
brk_23,111101x,0.2,2,FALSE
brk_23,192004,0.1,2,FALSE
brk_24,45301,0.5,1,TRUE
brk_24,192017,0.01,1,TRUE
brk_25,52004,0.5,1,TRUE
brk_25,192017,0.01,1,TRUE
brk_26,031301x,0.75,1,TRUE
brk_26,192004,0.015,1,TRUE
brk_27,31509,0.5,1,TRUE
brk_27,192004,0.015,1,TRUE
brk_28,21101,0.5,1,TRUE
brk_28,192004,0.015,1,TRUE
brk_29,51014,0.5,1,TRUE
brk_29,192017,0.01,1,TRUE
brk_31,45331,0.5,1.5,TRUE
brk_31,72004,0.1,1.5,TRUE
brk_31,192017,0.01,1.5,TRUE
brk_32,061101x,1,1,FALSE
brk_33,64101,1,1,FALSE
brk_34,063101x,1,1,FALSE
