id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
1,86.5,3.325,1.85,0.2,19.3,0.175,0.0,0.0275,0.0125,0.0,3.25,0.575,0.425,72.5,127.5,47.5,82.5,150.0,47.5,15.0,80.0,0.5,False
2,172.0,6.35,5.6,0.75,35.75,1.05,0.0,0.14,0.04,0.0,15.5,1.75,0.82,250.0,530.0,175.0,295.0,585.0,210.0,55.0,295.0,1.0,False
3,172.0,6.35,5.6,0.75,35.75,1.05,0.0,0.14,0.04,0.0,15.5,1.75,0.82,250.0,530.0,175.0,295.0,585.0,210.0,55.0,295.0,1.0,False
4,35.9,1.02,3.5100000000000002,1.6,1.8600000000000003,1.55,3.7,0.041,0.020000000000000004,0.0,19.1,0.82,0.4610000000000001,125.0,237.0,199.0,78.0,319.0,119.0,45.0,114.0,1.5,False
5,39.0,20.03,0.8800000000000001,0.10000000000000002,8.620000000000001,0.23000000000000004,29.6,0.017,0.013000000000000001,1.6,4.5,0.31,0.198,32.8,55.2,24.0,35.4,67.8,22.8,8.0,37.2,0.5,False
6,263.25,22.84,9.555,12.140000000000002,28.975,0.8400000000000001,11.0,0.24700000000000003,0.057,0.0,15.200000000000001,2.3500000000000005,1.5125000000000002,379.8,828.7,569.8,363.1,890.8,401.8,59.9,428.2,6.0,False
7,283.75,33.955000000000005,13.32,9.505,36.27,1.05,19.200000000000003,0.16000000000000003,0.076,0.0,19.75,2.41,5.1145000000000005,608.4,1181.6,882.65,632.05,1224.9,595.9,119.45,709.35,6.0,False
8,247.59999999999997,54.165000000000006,9.365,6.875000000000001,37.055,1.4900000000000002,47.800000000000004,0.23700000000000004,0.099,14.4,60.25,2.7800000000000002,1.455,379.4,809.3000000000001,467.75,378.25,877.5,370.29999999999995,73.65,435.05,6.0,False
9,283.15,63.945,11.750000000000002,9.965,36.83,1.4900000000000002,43.900000000000006,0.16500000000000004,0.11700000000000002,14.4,61.75,3.29,2.1195,565.4,1140.8,835.25,450.25,1156.5,565.3,103.65,646.5500000000001,8.0,False
10,476.5,112.75000000000001,17.269999999999996,17.39,62.67,6.4799999999999995,281.4,0.393,0.42300000000000004,23.0,112.9,6.5200000000000005,3.523,772.5999999999999,1283.2,1023.6999999999999,793.5000000000001,1458.8,735.0,224.7,871.9000000000001,8.0,False
11,194.10000000000002,39.06,5.199999999999999,10.98,18.625,0.795,18.9,0.10600000000000001,0.10099999999999999,1.5,20.7,3.2849999999999997,0.61,215.9,457.0,285.25,231.05,485.7,206.20000000000002,42.050000000000004,257.85,2.0,False
12,198.8,18.915000000000003,4.720000000000001,11.725000000000001,18.685,0.615,1.2000000000000002,0.07600000000000001,0.034,0.8,12.250000000000002,1.455,0.9129999999999999,230.0,467.09999999999997,306.3,201.5,482.7,224.60000000000002,42.9,264.59999999999997,2.5,False
13,200.95,29.82,8.14,9.25,21.295,0.525,63.0,0.14,0.168,0.0,19.8,2.275,1.3285,443.4,796.6,599.15,338.55,848.4,422.9,97.95,481.85,3.0,False
