id,composition,amount,price,half,type,pos
1,012001x,0.25,0.5,False,1,3
2,011201x,0.5,1.0,False,1,5
3,011201x,0.5,1.0,False,1,5
4,31101,0.1,1.5,False,4,2
5,012001x,0.1,0.5,False,1,3
5,43213,0.2,0.5,False,2,9
6,011201x,0.4,6.0,False,1,5
6,081110x,0.25,6.0,False,3,10
6,192004,0.1,6.0,False,5,6
7,011201x,0.5,6.0,False,1,5
7,91112,0.4,6.0,False,3,11
7,192004,0.05,6.0,False,5,6
8,011201x,0.5,6.0,False,1,5
8,081110x,0.15,6.0,False,3,10
8,45125,0.4,6.0,False,2,12
8,192004,0.05,6.0,False,5,6
9,011201x,0.5,8.0,False,1,5
9,082101x,0.3,8.0,False,3,15
9,45125,0.4,8.0,False,2,12
9,192004,0.05,8.0,False,5,6
10,19010,1.0,8.0,False,1,31
10,111101x,0.5,8.0,False,3,7
10,045101x,0.2,8.0,False,2,14
10,45125,0.2,8.0,False,2,12
10,45301,0.2,8.0,False,2,21
10,192004,0.1,8.0,False,5,6
11,011201x,0.25,2.0,False,1,5
11,081111x,0.15,2.0,False,3,13
11,45331,0.3,2.0,False,2,19
11,192004,0.05,2.0,False,5,6
12,011201x,0.25,2.5,False,1,5
12,082101x,0.1,2.5,False,3,15
12,44301,0.1,2.5,False,2,32
12,192004,0.1,2.5,False,5,6
13,011201x,0.25,3.0,False,1,5
13,111101x,0.2,3.0,False,3,7
13,81409,0.2,3.0,False,3,17
13,192004,0.05,3.0,False,5,6
14,011201x,0.2,2.5,False,1,5
14,21101,0.5,2.5,False,1,18
14,111101x,0.2,2.5,False,3,7
14,192004,0.05,2.5,False,5,6
15,011201x,0.2,2.0,False,1,5
15,081111x,0.2,2.0,False,3,13
15,192004,0.1,2.0,False,5,6
16,011201x,0.5,8.0,False,1,5
16,081111x,0.2,8.0,False,3,13
16,045101x,0.4,8.0,False,2,14
16,192004,0.1,8.0,False,5,6
17,011201x,0.5,10.0,False,1,5
17,082101x,0.2,10.0,False,3,15
17,41201,0.4,10.0,False,2,16
17,192004,0.1,10.0,False,5,6
18,011201x,0.2,2.0,False,1,5
18,44404,0.4,2.0,False,2,20
